x_epoch,rt,id,pd,lat,lon
1534245976,1C,257,South Bound,37.5293242976351,-77.4340539608362
1534245976,1C,260,North Bound,37.5007265005539,-77.4758233597029
1534245976,1A,266,South Bound,37.5399097643401,-77.4324856139066
1534245976,1B,2106,South Bound,37.5052638583713,-77.50228994864
1534245976,1A,206,North Bound,37.6017976240678,-77.4519029097124
1534245976,1B,506,South Bound,37.6011428833008,-77.4501876831055
1534245987,1A,912,North Bound,37.5255440021383,-77.4368620247676
1534245987,1A,402,South Bound,37.5012214902848,-77.5277464124892
1534245987,1B,2210,North Bound,37.5563835394187,-77.4420618776415
1534245987,1A,250,North Bound,37.499075496898,-77.5270028955796
1534245987,1C,257,South Bound,37.5293242976351,-77.4340539608362
1534245987,1C,260,North Bound,37.5007265005539,-77.4758233597029
1534245987,1A,266,South Bound,37.5399097643401,-77.4324856139066
1534245987,1B,2106,South Bound,37.5052638583713,-77.50228994864
1534245987,1A,206,North Bound,37.6017976240678,-77.4519029097124
1534245987,1B,506,South Bound,37.599325899218,-77.4499395401751
1534245996,1A,912,North Bound,37.5255440021383,-77.4368620247676
1534245996,1A,402,South Bound,37.5012214902848,-77.5277464124892
1534245996,1B,2210,North Bound,37.5563835394187,-77.4420618776415
1534245996,1A,250,North Bound,37.499075496898,-77.5270028955796
1534245996,1C,257,South Bound,37.5293242976351,-77.4340539608362
1534245996,1C,260,North Bound,37.5007265005539,-77.4758233597029
1534245996,1A,266,South Bound,37.5399097643401,-77.4324856139066
1534245996,1B,2106,South Bound,37.5052638583713,-77.50228994864
1534245996,1A,206,North Bound,37.6017976240678,-77.4519029097124
1534245996,1B,506,South Bound,37.599325899218,-77.4499395401751
1534246006,1A,912,North Bound,37.5323317678351,-77.4330446343673
1534246006,1A,402,South Bound,37.5012214902848,-77.5277464124892
1534246006,1B,2210,North Bound,37.5589450437631,-77.4424466944453
1534246006,1A,250,North Bound,37.499075496898,-77.5270028955796
1534246006,1C,257,South Bound,37.5293242976351,-77.4340539608362
1534246006,1C,260,North Bound,37.5019689010362,-77.4755997738596
1534246006,1A,266,South Bound,37.5395415521437,-77.431878366778
1534246006,1B,2106,South Bound,37.5052638583713,-77.50228994864
1534246006,1A,206,North Bound,37.6017976240678,-77.4519029097124
1534246006,1B,506,South Bound,37.599325899218,-77.4499395401751
1534246016,1A,912,North Bound,37.5323317678351,-77.4330446343673
1534246016,1A,402,South Bound,37.5012214902848,-77.5277464124892
1534246016,1B,2210,North Bound,37.5589450437631,-77.4424466944453
1534246016,1A,250,North Bound,37.5022062029157,-77.5197383335659
1534246016,1C,257,South Bound,37.5293242976351,-77.4340539608362
1534246016,1C,260,North Bound,37.5019689010362,-77.4755997738596
1534246016,1A,266,South Bound,37.5391436904224,-77.4312614327046
1534246016,1B,2106,South Bound,37.5052638583713,-77.50228994864
1534246016,1A,206,North Bound,37.6017976240678,-77.4519029097124
1534246016,1B,506,South Bound,37.599325899218,-77.4499395401751
1534246026,1A,912,North Bound,37.5323317678351,-77.4330446343673
1534246026,1A,402,South Bound,37.5012214902848,-77.5277464124892
1534246026,1B,2210,North Bound,37.5589450437631,-77.4424466944453
1534246026,1A,250,North Bound,37.5022062029157,-77.5197383335659
1534246026,1C,257,South Bound,37.5261116027832,-77.4359664916992
1534246026,1C,260,North Bound,37.5019689010362,-77.4755997738596
1534246026,1A,266,South Bound,37.5391436904224,-77.4312614327046
1534246026,1B,2106,South Bound,37.5052638583713,-77.50228994864
1534246026,1A,206,North Bound,37.6017976240678,-77.4519029097124
1534246026,1B,506,South Bound,37.599325899218,-77.4499395401751
1534246036,1A,912,North Bound,37.5323317678351,-77.4330446343673
1534246036,1A,402,South Bound,37.5012214902848,-77.5277464124892
1534246036,1B,2210,North Bound,37.5589450437631,-77.4424466944453
1534246036,1A,250,North Bound,37.5022062029157,-77.5197383335659
1534246036,1C,257,South Bound,37.5261116027832,-77.4359664916992
1534246036,1C,260,North Bound,37.5019689010362,-77.4755997738596
1534246036,1A,266,South Bound,37.5391436904224,-77.4312614327046
1534246036,1B,2106,South Bound,37.5052638583713,-77.50228994864
1534246036,1A,206,North Bound,37.6017976240678,-77.4519029097124
1534246036,1B,506,South Bound,37.5941543579102,-77.4490661621094
1534246046,1A,912,North Bound,37.5323317678351,-77.4330446343673
1534246046,1A,402,South Bound,37.5012214902848,-77.5277464124892
1534246046,1B,2210,North Bound,37.5614497743804,-77.4426240592167
1534246046,1A,250,North Bound,37.5022062029157,-77.5197383335659
1534246046,1C,257,South Bound,37.5253222147624,-77.4372032165527
1534246046,1C,260,North Bound,37.5019689010362,-77.4755997738596
1534246046,1A,266,South Bound,37.5391436904224,-77.4312614327046
1534246046,1B,2106,South Bound,37.5052638583713,-77.50228994864
1534246046,1A,206,North Bound,37.6017976240678,-77.4519029097124
1534246046,1B,506,South Bound,37.5941543579102,-77.4490661621094
1534246056,1A,912,North Bound,37.5338554382324,-77.4325286865234
1534246056,1A,402,South Bound,37.5012214902848,-77.5277464124892
1534246056,1B,2210,North Bound,37.5614497743804,-77.4426240592167
1534246056,1A,250,North Bound,37.5031361171177,-77.5149717058454
1534246056,1C,257,South Bound,37.5245649403539,-77.4384015839675
1534246056,1C,260,North Bound,37.5019689010362,-77.4755997738596
1534246056,1A,266,South Bound,37.5391436904224,-77.4312614327046
1534246056,1B,2106,South Bound,37.5052638583713,-77.50228994864
1534246056,1A,206,North Bound,37.6017976240678,-77.4519029097124
1534246056,1B,506,South Bound,37.5940685272217,-77.4490509033203
1534246066,1A,912,North Bound,37.5338554382324,-77.4325286865234
1534246066,1A,402,South Bound,37.5012214902848,-77.5277464124892
1534246066,1B,2210,North Bound,37.5614497743804,-77.4426240592167
1534246066,1A,250,North Bound,37.5031609671456,-77.5148433140346
1534246066,1C,257,South Bound,37.5245649403539,-77.4384015839675
1534246066,1C,260,North Bound,37.5019689010362,-77.4755997738596
1534246066,1A,266,South Bound,37.5369206746419,-77.4304332733154
1534246066,1B,2106,South Bound,37.5052638583713,-77.50228994864
1534246066,1A,206,North Bound,37.6017976240678,-77.4519029097124
1534246066,1B,506,South Bound,37.5940685272217,-77.4490509033203
1534246076,1A,912,North Bound,37.5338554382324,-77.4325286865234
1534246076,1A,402,South Bound,37.5012214902848,-77.5277464124892
1534246076,1B,2210,North Bound,37.5628290812175,-77.4432935078939
1534246076,1A,250,North Bound,37.5031609671456,-77.5148433140346
1534246076,1C,257,South Bound,37.5235242554636,-77.4400898326527
1534246076,1C,260,North Bound,37.5024093740127,-77.4756077037138
1534246076,1A,266,South Bound,37.5369206746419,-77.4304332733154
1534246076,1B,2106,South Bound,37.5052638583713,-77.50228994864
1534246076,1A,206,North Bound,37.6017976240678,-77.4519029097124
1534246076,1B,506,South Bound,37.5940685272217,-77.4490509033203
1534246086,1A,912,North Bound,37.5338554382324,-77.4325286865234
1534246086,1A,402,South Bound,37.5012214902848,-77.5277464124892
1534246086,1B,2210,North Bound,37.5636270696467,-77.443635189172
1534246086,1A,250,North Bound,37.5031609671456,-77.5148433140346
1534246086,1C,257,South Bound,37.5235242554636,-77.4400898326527
1534246086,1C,260,North Bound,37.5027842712402,-77.4759707641602
1534246086,1A,266,South Bound,37.5369206746419,-77.4304332733154
1534246086,1B,2106,South Bound,37.5052638583713,-77.50228994864
1534246086,1A,206,North Bound,37.6017976240678,-77.4519029097124
1534246086,1B,506,South Bound,37.5940685272217,-77.4490509033203
1534246096,1A,912,North Bound,37.5353571573893,-77.4320513407389
1534246096,1A,402,South Bound,37.5012214902848,-77.5277464124892
1534246096,1B,2210,North Bound,37.5656301180522,-77.4439957936605
1534246096,1A,250,North Bound,37.5031609671456,-77.5148433140346
1534246096,1C,257,South Bound,37.5235242554636,-77.4400898326527
1534246096,1C,260,North Bound,37.5027842712402,-77.4759707641602
1534246096,1A,266,South Bound,37.5369206746419,-77.4304332733154
1534246096,1B,2106,South Bound,37.5052638583713,-77.50228994864
1534246096,1A,206,North Bound,37.6017976240678,-77.4519029097124
1534246096,1B,506,South Bound,37.5889081087979,-77.4481460108902
1534246106,1A,912,North Bound,37.5353571573893,-77.4320513407389
1534246106,1A,402,South Bound,37.5012214902848,-77.5277464124892
1534246106,1B,2210,North Bound,37.5656301180522,-77.4439957936605
1534246106,1A,250,North Bound,37.5038536616734,-77.5111519949777
1534246106,1C,257,South Bound,37.5235242554636,-77.4400898326527
1534246106,1C,260,North Bound,37.5027842712402,-77.4759707641602
1534246106,1A,266,South Bound,37.5369206746419,-77.4304332733154
1534246106,1B,2106,South Bound,37.5052638583713,-77.50228994864
1534246106,1A,206,North Bound,37.6017976240678,-77.4519029097124
1534246106,1B,506,South Bound,37.5889081087979,-77.4481460108902
1534246116,1A,912,North Bound,37.5353571573893,-77.4320513407389
1534246116,1A,402,South Bound,37.5012214902848,-77.5277464124892
1534246116,1B,2210,North Bound,37.5680502378024,-77.444404895489
1534246116,1A,250,North Bound,37.5038566589355,-77.511116027832
1534246116,1C,257,South Bound,37.5225584465161,-77.4418342991879
1534246116,1C,260,North Bound,37.5027842712402,-77.4759707641602
1534246116,1A,266,South Bound,37.5369206746419,-77.4304332733154
1534246116,1B,2106,South Bound,37.5052638583713,-77.50228994864
1534246116,1A,206,North Bound,37.6017976240678,-77.4519029097124
1534246116,1B,506,South Bound,37.5889081087979,-77.4481460108902
1534246126,1A,912,North Bound,37.5353571573893,-77.4320513407389
1534246126,1A,402,South Bound,37.5012214902848,-77.5277464124892
1534246126,1B,2210,North Bound,37.5680502378024,-77.444404895489
1534246126,1A,250,North Bound,37.5038566589355,-77.511116027832
1534246126,1C,257,South Bound,37.5220645406972,-77.4423489777938
1534246126,1C,260,North Bound,37.5027842712402,-77.4759707641602
1534246126,1A,266,South Bound,37.5369206746419,-77.4304332733154
1534246126,1B,2106,South Bound,37.5052638583713,-77.50228994864
1534246126,1A,206,North Bound,37.6017976240678,-77.4519029097124
1534246126,1B,506,South Bound,37.5889081087979,-77.4481460108902
1534246136,1A,912,North Bound,37.5353571573893,-77.4320513407389
1534246136,1A,402,South Bound,37.5012214902848,-77.5277464124892
1534246136,1B,2210,North Bound,37.5694196900325,-77.4446579662722
1534246136,1A,250,North Bound,37.5038566589355,-77.511116027832
1534246136,1C,257,South Bound,37.5220645406972,-77.4423489777938
1534246136,1C,260,North Bound,37.5027842712402,-77.4759707641602
1534246136,1A,266,South Bound,37.5369206746419,-77.4304332733154
1534246136,1B,2106,South Bound,37.5052638583713,-77.50228994864
1534246136,1A,206,North Bound,37.6017976240678,-77.4519029097124
1534246136,1B,506,South Bound,37.5889081087979,-77.4481460108902
1534246146,1A,912,North Bound,37.5353571573893,-77.4320513407389
1534246146,1A,402,South Bound,37.5012214902848,-77.5277464124892
1534246146,1B,2210,North Bound,37.5694196900325,-77.4446579662722
1534246146,1A,250,North Bound,37.5038566589355,-77.511116027832
1534246146,1C,257,South Bound,37.5220645406972,-77.4423489777938
1534246146,1C,260,North Bound,37.5027842712402,-77.4759707641602
1534246146,1A,266,South Bound,37.5369206746419,-77.4304332733154
1534246146,1B,2106,South Bound,37.5052638583713,-77.50228994864
1534246146,1A,206,North Bound,37.6017976240678,-77.4519029097124
1534246146,1B,506,South Bound,37.5889081087979,-77.4481460108902
1534246156,1A,912,North Bound,37.5353571573893,-77.4320513407389
1534246156,1A,402,South Bound,37.5012214902848,-77.5277464124892
1534246156,1B,2210,North Bound,37.5694196900325,-77.4446579662722
1534246156,1A,250,North Bound,37.5038566589355,-77.511116027832
1534246156,1C,257,South Bound,37.5220645406972,-77.4423489777938
1534246156,1C,260,North Bound,37.5027842712402,-77.4759707641602
1534246156,1A,266,South Bound,37.5350606282552,-77.4322448730469
1534246156,1B,2106,South Bound,37.5052638583713,-77.50228994864
1534246156,1A,206,North Bound,37.6017976240678,-77.4519029097124
1534246156,1B,506,South Bound,37.5878411569903,-77.4479687598444
1534246166,1A,912,North Bound,37.5353571573893,-77.4320513407389
1534246166,1A,402,South Bound,37.5012214902848,-77.5277464124892
1534246166,1B,2210,North Bound,37.5694196900325,-77.4446579662722
1534246166,1A,250,North Bound,37.5046756578528,-77.5060099726138
1534246166,1C,257,South Bound,37.5209865570068,-77.4441502888997
1534246166,1C,260,North Bound,37.5028636638935,-77.4723669198843
1534246166,1A,266,South Bound,37.5348941040039,-77.4322952270508
1534246166,1B,2106,South Bound,37.5052638583713,-77.50228994864
